account,indicator,region,sector,value,share_of_region_total,rank,unit,definition
CBA,economic_importance,SE,Electricity by gas,31.024201218433248,5.7672829600238474e-05,95,M.EUR,factor_inputs
CBA,economic_importance,SE,"Cement, lime and plaster",22.766509874898105,4.232209027277103e-05,96,M.EUR,factor_inputs
CBA,economic_importance,SE,Lubricants,22.00120937126532,4.089942526269605e-05,97,M.EUR,factor_inputs
CBA,economic_importance,SE,"Lead, zinc and tin and products thereof",21.543920207943973,4.0049341813050373e-05,98,M.EUR,factor_inputs
CBA,economic_importance,SE,Cattle,20.87778972889534,3.881103016920792e-05,99,M.EUR,factor_inputs
CBA,economic_importance,SE,Other non-ferrous metal products,20.12006906330493,3.740245579452876e-05,100,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by coal,16.34133436800389,3.0377929340093532e-05,101,M.EUR,factor_inputs
CBA,economic_importance,SE,N-fertiliser,16.30198474465419,3.030477986216492e-05,102,M.EUR,factor_inputs
CBA,economic_importance,SE,Other non-ferrous metal ores and concentrates,16.1141167147466,2.9955540221798116e-05,103,M.EUR,factor_inputs
CBA,economic_importance,SE,Foundry work services,13.72951089004572,2.5522647190212264e-05,104,M.EUR,factor_inputs
CBA,economic_importance,SE,Liquefied Petroleum Gases (LPG),10.8652883915731,2.0198164702217273e-05,105,M.EUR,factor_inputs
CBA,economic_importance,SE,Precious metals,8.146939823905917,1.5144856395153661e-05,106,M.EUR,factor_inputs
CBA,economic_importance,SE,Charcoal,5.804708962597564,1.0790736835472753e-05,107,M.EUR,factor_inputs
CBA,economic_importance,SE,Sub-Bituminous Coal,4.02980827705312,7.491262851467933e-06,108,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by biomass and waste,4.0236967029270625,7.479901663771925e-06,109,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by petroleum and other oil derivatives,3.95970712275236,7.3609474277668514e-06,110,M.EUR,factor_inputs
CBA,economic_importance,SE,Iron ores,3.8281314076905923,7.116353095076081e-06,111,M.EUR,factor_inputs
CBA,economic_importance,SE,Raw milk,2.728698575539569,5.072548584554804e-06,112,M.EUR,factor_inputs
CBA,economic_importance,SE,Ethane,2.05146344752603,3.8135938136576284e-06,113,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by solar photovoltaic,1.9936587983862397,3.7061371330981973e-06,114,M.EUR,factor_inputs
CBA,economic_importance,SE,BKB/Peat Briquettes,1.0459951709233173,1.944465897142582e-06,115,M.EUR,factor_inputs
CBA,economic_importance,SE,Sand and clay,0.9474058324542491,1.7611920046773517e-06,116,M.EUR,factor_inputs
CBA,economic_importance,SE,Anthracite,0.9259436320765806,1.721294576972041e-06,117,M.EUR,factor_inputs
CBA,economic_importance,SE,Gas Works Gas,0.7280368815686515,1.353393330509035e-06,118,M.EUR,factor_inputs
CBA,economic_importance,SE,Additives/Blending Components,0.24140553863872347,4.487638665195579e-07,119,M.EUR,factor_inputs
CBA,economic_importance,SE,Aviation Gasoline,0.19539586979547074,3.6323361313840993e-07,120,M.EUR,factor_inputs
CBA,economic_importance,SE,"Bricks, tiles and construction products, in baked clay",0.11533021152319371,2.143945492780205e-07,121,M.EUR,factor_inputs
CBA,economic_importance,SE,Nickel ores and concentrates,0.10999591131904127,2.0447828472878814e-07,122,M.EUR,factor_inputs
CBA,economic_importance,SE,Heavy Fuel Oil,0.09778052175589362,1.8177033244934752e-07,123,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity nec,0.09186094560282362,1.7076606180341072e-07,124,M.EUR,factor_inputs
CBA,economic_importance,SE,Patent Fuel,0.08429352089649787,1.5669850233499003e-07,125,M.EUR,factor_inputs
CBA,economic_importance,SE,Paddy rice,0.07445644253637916,1.3841174162089836e-07,126,M.EUR,factor_inputs
CBA,economic_importance,SE,Lignite/Brown Coal,0.00852488725381792,1.5847446530180636e-08,127,M.EUR,factor_inputs
CBA,economic_importance,SE,Aluminium ores and concentrates,0.003761054512937802,6.991659656751799e-09,128,M.EUR,factor_inputs
CBA,economic_importance,SE,"Wool, silk-worm cocoons",0.000841155043668888,1.5636757626518133e-09,129,M.EUR,factor_inputs
CBA,economic_importance,SE,Secondary raw materials,6.374101183815311e-05,1.184921567651641e-10,130,M.EUR,factor_inputs
CBA,economic_importance,SE,Plant-based fibers,9.594195752554064e-09,1.783525103168879e-14,131,M.EUR,factor_inputs
CBA,economic_importance,SE,Coal Tar,5.462839650682994e-09,1.0155214572295675e-14,132,M.EUR,factor_inputs
CBA,economic_importance,SE,Nuclear fuel,2.675585378865967e-09,4.973813138645545e-15,133,M.EUR,factor_inputs
CBA,economic_importance,SE,Petroleum Coke,2.000000034634868e-09,3.717925254089518e-15,134,M.EUR,factor_inputs
CBA,economic_importance,SE,Naphtha,2.0000000000134344e-09,3.717925189729568e-15,135,M.EUR,factor_inputs
CBA,economic_importance,SE,Kerosene Type Jet Fuel,1.999999999924409e-09,3.717925189564074e-15,136,M.EUR,factor_inputs
CBA,economic_importance,SE,Bitumen,1.9999999991570994e-09,3.717925188137674e-15,137,M.EUR,factor_inputs
CBA,economic_importance,SE,Glass and glass products,1.9300749863872864e-09,3.587937204954022e-15,138,M.EUR,factor_inputs
CBA,economic_importance,SE,"Sugar cane, sugar beet",1.2305296808823998e-09,2.2875086486159154e-15,139,M.EUR,factor_inputs
CBA,economic_importance,SE,Coking Coal,9.999997616707003e-10,1.858962151807044e-15,140,M.EUR,factor_inputs
CBA,economic_importance,SE,Paraffin Waxes,8.916625696443127e-10,1.6575673641986588e-15,141,M.EUR,factor_inputs
CBA,economic_importance,SE,Copper ores and concentrates,4.510230096417194e-10,8.384349043416634e-16,142,M.EUR,factor_inputs
CBA,economic_importance,SE,Gasoline Type Jet Fuel,0.0,0.0,143,M.EUR,factor_inputs
CBA,economic_importance,SE,Extra-territorial organizations and bodies,0.0,0.0,144,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by Geothermal,0.0,0.0,145,M.EUR,factor_inputs
CBA,economic_importance,SE,Electricity by solar thermal,0.0,0.0,146,M.EUR,factor_inputs
CBA,economic_importance,SE,"Electricity by tide, wave, ocean",0.0,0.0,147,M.EUR,factor_inputs
CBA,economic_importance,SE,Blast Furnace Gas,0.0,0.0,148,M.EUR,factor_inputs
CBA,economic_importance,SE,"Bottles for treatment, Recycling of bottles by direct reuse",0.0,0.0,149,M.EUR,factor_inputs
CBA,economic_importance,SE,Coke oven gas,0.0,0.0,150,M.EUR,factor_inputs
CBA,economic_importance,SE,"Collected and purified water, distribution services of water (41)",0.0,0.0,151,M.EUR,factor_inputs
CBA,economic_importance,SE,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,152,M.EUR,factor_inputs
CBA,economic_importance,SE,"Ash for treatment, Re-processing of ash into clinker",0.0,0.0,153,M.EUR,factor_inputs
CBA,economic_importance,SE,Gas Coke,0.0,0.0,154,M.EUR,factor_inputs
CBA,economic_importance,SE,Food waste for treatment: waste water treatment,0.0,0.0,155,M.EUR,factor_inputs
CBA,economic_importance,SE,Food waste for treatment: landfill,0.0,0.0,156,M.EUR,factor_inputs
CBA,economic_importance,SE,Food waste for treatment: biogasification and land application,0.0,0.0,157,M.EUR,factor_inputs
CBA,economic_importance,SE,Food waste for treatment: composting and land application,0.0,0.0,158,M.EUR,factor_inputs
CBA,economic_importance,SE,Food waste for treatment: incineration,0.0,0.0,159,M.EUR,factor_inputs
CBA,economic_importance,SE,Intert/metal waste for treatment: incineration,0.0,0.0,160,M.EUR,factor_inputs
CBA,economic_importance,SE,Inert/metal/hazardous waste for treatment: landfill,0.0,0.0,161,M.EUR,factor_inputs
CBA,economic_importance,SE,Kerosene,0.0,0.0,162,M.EUR,factor_inputs
