target_region,target_sector,source_country,source_value,source_share,model_total,residual_to_model_total,indicator,target_sector_value,unit
SE,Dairy products,GR,37161500.27065943,0.0003385283068877542,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,PL,20835619.028518304,0.0001898052226446726,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,Dairy products,OTHER,230926285.9449768,0.002103657926280035,109773686615.16707,0.0,ghg,109773686615.16708,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",CH,57310103917.59858,0.9909050890880156,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",SE,202939437.0412318,0.0035088702897825737,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",WA,40650218.931233995,0.0007028517845547401,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",CN,32247372.116556037,0.000557564599532998,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",WF,28896532.974024266,0.0004996278077270691,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",WM,23051132.76634793,0.0003985594721702047,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",US,18832705.677657656,0.00032562188203531166,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",NO,17069872.44175583,0.000295142083443772,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",FI,14059472.545844682,0.00024309156576651517,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",RU,13623313.611579133,0.00023555027587047258,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",OTHER,134644284.96959686,0.0023280311511007486,57836118260.67441,0.0,ghg,57836118260.67436,mass unit CO2-eq
SE,Food products nec,CH,53022282857.35993,0.9558330655727577,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,SE,1018029125.505372,0.018352018197554536,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,PL,153741129.1333521,0.002771492414980981,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,NL,119060546.65423869,0.002146305310984788,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,DE,113910309.48106031,0.002053461949281388,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,WM,86356226.42073298,0.0015567443003742121,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,WA,65708559.75523693,0.001184528668337048,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,WF,63937083.166840054,0.001152594247432673,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,FR,62971451.64711391,0.001135186801242615,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
SE,Food products nec,NO,61415141.70485037,0.0011071311909797191,55472325416.55978,0.0,ghg,55472325416.5597,mass unit CO2-eq
