source_region,source_sector,destination_country,destination_value,destination_share,model_total,residual_to_model_total,indicator,source_sector_value,unit
SE,"Products of forestry, logging and related services (02)",LV,7.907857728495328,0.00024244223002533224,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,"Products of forestry, logging and related services (02)",BG,6.97292291915997,0.00021377862884712766,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,"Products of forestry, logging and related services (02)",HR,6.44650291421116,0.00019763943612115785,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,"Products of forestry, logging and related services (02)",SI,5.6093945614299745,0.00017197503714116766,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,"Products of forestry, logging and related services (02)",MT,1.482214773916548,4.544232679729778e-05,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,"Products of forestry, logging and related services (02)",CY,0.24598354427340938,7.5414607938992145e-06,32617.492949429863,0.0,materials,32617.49294939127,kt
SE,Copper ores and concentrates,SE,8415.724625544528,0.3355629132942729,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,DE,1971.5543594575126,0.07861242543149163,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,CN,1904.8929304343894,0.07595441268479827,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,US,1597.969285497407,0.06371634679783529,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,WA,1037.6012729055706,0.041372611565401674,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,FR,795.1419887807216,0.0317049540128693,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,IT,769.5885886859146,0.03068605501582272,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,NO,707.0834912987697,0.028193769026413282,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,WM,668.9328694870152,0.026672576928434905,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,GB,646.8109682120037,0.025790503195066896,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,NL,493.3888281044669,0.019673052519214244,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,IN,472.7043193536671,0.01884829240344107,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,PL,463.0550125877492,0.018463542469987534,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,FI,384.18125020031306,0.01531858340028701,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,DK,351.25950634542926,0.014005884046372749,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,JP,344.24399339847923,0.013726152226775585,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,WF,334.0266906554142,0.013318754405788703,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,RU,331.0966477389087,0.013201923855730607,25079.424132202395,0.0,materials,25079.424132211276,kt
SE,Copper ores and concentrates,WL,323.2930414205984,0.012890768133925562,25079.424132202395,0.0,materials,25079.424132211276,kt
