target_region,target_sector,source_country,source_value,source_share,account,indicator,target_sector_value,unit
SE,Construction work (45),CY,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Construction work (45),CZ,2166883782322.5864,0.02040816326530612,CBA,ghg,10834418912.021866,kg CO2-Equivalents
SE,Real estate services (70),AT,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),AU,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),BE,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),BG,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),BR,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),CA,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),CH,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),CN,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),CY,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Real estate services (70),CZ,1562592971835.9666,0.020408163265306124,CBA,ghg,7812964859.283664,kg CO2-Equivalents
SE,Steam and hot water supply services,AT,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,AU,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,BE,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,BG,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,BR,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,CA,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,CH,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,CN,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Steam and hot water supply services,CY,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
